x,y,z
10.889,9.476,9.254
9.99,-1.877,3.5
11.88,-0.497,7.727
1.46,6.026,-1.689
3.634,4.03,4.822
-1.592,7.874,9.604
7.495,3.746,11.116
9.312,12.33,5.443
4.215,4.851,5.166
11.424,-1.34,4.83
11.998,-0.21,8.332
-1.243,7.46,10.238
11.799,11.815,3.487
10.307,11.601,5.953
7.188,2.591,11.015
-1.362,6.39,9.39
-0.803,6.485,10.602
10.376,8.912,9.482
-1.536,7.55,9.897
7.053,2.716,10.839
11.649,9.125,9.463
11.085,-1.622,5.686
8.48,4.595,3.916
1.631,5.995,-1.686
12.299,11.754,3.317
10.831,-1.234,4.768
1.782,5.091,-1.817
4.767,4.547,4.898
12.297,11.717,3.328
4.371,4.041,3.731
11.186,10.187,6.106
9.631,-1.784,3.168
3.732,3.747,5.069
4.913,5.175,4.426
9.041,4.387,3.893
4.573,5.224,1.969
11.818,11.424,3.703
10.449,8.446,8.868
11.891,8.838,9.004
11.147,11.585,3.736
7.308,3.525,11.056
7.523,5.386,4.112
6.294,5.057,-0.394
9.007,4.73,3.678
1.423,5.79,-2.136
10.609,8.366,8.814
4.36,5.179,4.789
10.807,11.496,4.454
1.094,5.532,-2.176
10.971,-1.436,6.023
11.632,9.974,6.457
9.94,10.3,8.969
1.374,5.194,-2.044
-1.267,7.388,10.538
3.669,3.816,5.123
9.208,11.11,9.252
7.077,2.886,11.138
7.727,5.327,4.22
6.986,2.218,10.814
10.021,11.382,5.698
12.055,11.239,3.574
9.731,13.133,3.779
1.302,5.41,-1.877
11.541,11.579,3.822
11.55,10.674,6.568
10.525,8.6,8.946
-0.704,5.832,9.43
9.755,11.664,5.774
7.111,2.551,11.06
10.062,10.261,9.026
6.278,4.788,-0.527
11.63,-1.048,5.134
6.121,4.942,-0.283
9.932,11.249,5.556
11.989,0.038,7.071
5.462,3.259,11.886
4.021,4.407,5.374
6.99,2.754,10.202
4.035,4.113,5.461
4.587,5.412,2.35
11.154,10.848,6.458
10.182,-1.894,3.916
11.328,9.64,9.487
0.516,6.625,-1.833
7.406,2.674,10.829
8.077,5.485,3.884
7.389,3.364,10.988
7.208,2.811,10.906
6.277,5.068,-0.368
-1.065,6.205,9.565
11.476,9.536,9.412
10.198,12.655,3.785
11.559,10.01,6.658
9.374,10.736,9.315
9.226,4.356,3.463
4.242,4.789,3.99
6.965,3.514,11.348
10.15,-1.73,3.765
12.547,0.714,8.28
9.013,4.49,3.619
4.052,4.114,5.446
1.315,6.194,-2.225
12.206,0.079,8.623
-1.77,7.478,9.88
3.668,3.8,5.309
11.249,-0.976,5.691
-1.579,7.72,9.618
-1.406,6.601,9.216
11.239,-0.981,5.808
10.697,-1.122,4.465
6.319,3.228,11.548
9.525,10.43,9.422
3.639,3.939,4.72
-1.034,6.257,8.856
10.743,12.01,4.02
0.711,6.448,-1.806
5.226,5.003,0.718
6.782,2.147,10.469
0.301,5.863,-1.847
9.624,13.334,3.901
11.131,9.548,9.158
11.113,8.743,9.009
8.777,4.395,3.422
9.511,11.66,5.554
11.09,10.444,5.983
5.154,5.301,4.359
-1.628,7.725,9.617
11.318,8.87,9.206
11.018,-1.111,6.18
-0.764,5.816,8.901
6.079,2.902,11.794
-1.039,6.196,9.341
3.616,3.839,4.848
5.644,5.545,0.407
10.649,12.152,3.681
0.617,6.118,-1.953
5.741,4.865,0.176
8.392,4.604,4.218
-0.141,6.284,-1.773
3.575,4.235,4.516
10.902,9.604,9.243
4.924,5.671,2.071
8.913,4.491,3.494
-1.819,7.633,9.473
11.021,10.404,6.056
9.973,-1.672,3.582
-1.665,7.818,9.637
4.562,5.718,4.137
11.258,-0.87,5.86
7.334,3.072,10.703
5.589,3.141,12.009
3.897,4.552,3.884
3.732,3.789,5.028
2.554,4.773,-1.77
11.599,11.854,3.651
10.533,8.93,8.83
5.64,4.707,0.009
-1.048,7.795,10.516
0.929,5.475,-2.108
10.795,-1.097,4.922
10.928,9.635,9.354
9.161,12.848,5.215
8.96,4.638,3.332
4.879,5.687,2.047
10.677,10.665,5.92
7.28,3.92,10.964
11.457,-0.923,7.135
11.174,-1.479,6.082
11.215,11.642,4.001
11.082,12.307,3.336
5.764,4.865,0.128
2.284,4.864,-1.738
11.423,11.815,3.707
11.713,-1.053,5.663
5.72,3.057,11.831
4.427,4.976,2.128
4.093,4.241,5.356
11.091,10.733,6.096
3.523,3.967,4.855
9.19,12.42,5.369
-1.436,7.423,9.685
4.805,5.74,2.9
10.895,10.451,5.886
1.164,5.503,-1.767
5.937,4.689,-0.323
9.74,9.584,9.121
11.273,11.656,3.982
11.844,-0.818,6.617
3.842,3.705,4.761
10.911,11.63,4.624
-1.17,6.847,9.72
9.454,13.473,3.924
9.224,4.308,3.57
-1.309,6.584,9.285
11.632,11.907,3.566
4.614,5.314,4.305
0.418,5.988,-1.904
8.451,4.806,4.244
11.228,9.431,9.081
1.498,5.067,-2.059
-0.946,6.505,10.084
9.447,10.159,8.704
11.566,8.985,9.095
4.653,5.767,2.865
11.094,8.998,8.941
5.836,2.799,11.793
11.783,-0.732,7.644
11.442,-1.355,4.811
0.706,5.577,-2.03
7.822,5.343,4.016
11.101,10.416,6.155
10.332,12.844,3.764
12.24,-0.248,7.936
4.827,5.704,2.895
5.712,3.014,12.049
7.342,3.596,11.08
11.766,10.267,6.556
-0.924,6.13,9.201
3.62,3.788,4.847
9.526,12.48,5.672
0.07,6.093,-1.884
9.729,9.218,8.894
5.846,2.822,11.845
-1.144,6.105,9.454
3.595,3.718,4.9
5.363,5.616,1.11
11.499,11.882,3.621
3.992,4.685,3.754
1.316,5.596,-2.233
5.116,5.644,1.701
7.809,4.972,3.63
9.706,12.587,5.425
5.715,4.678,-0.067
10.826,11.667,3.881
11.355,9.339,9.249
10.936,12.132,3.695
5.93,2.969,11.996
10.064,11.386,5.872
3.494,4.001,4.937
10.779,11.353,4.167
9.232,4.302,3.521
9.707,12.032,5.577
12.238,-0.157,8.007
10.969,10.105,6.251
5.668,3.028,11.923
8.21,4.866,4.007
10.977,9.23,9.574
9.979,11.906,5.642
12.346,-0.012,8.269
6.516,5.314,3.559
11.086,8.821,9.056
10.192,11.242,4.899
12.252,0.091,8.645
4.78,4.69,4.907
12.008,-0.204,7.869
10.072,-1.968,3.817
-1.278,6.614,10.007
7.401,2.762,10.393
4.017,4.174,5.346
10.488,11.432,5.745
11.788,11.293,3.612
10.814,11.289,5.752
6.137,2.672,11.486
10.689,-1.841,5.106
0.588,5.61,-1.995
8.569,4.322,3.958
11.202,11.865,3.654
9.92,8.739,8.573
10.692,9.838,9.501
10.469,11.748,3.789
11.545,11.7,3.515
9.733,11.915,5.594
5.88,2.956,12.07
7.723,5.097,4.296
11.37,9.398,9.238
6.46,3.159,10.906
11.915,11.331,3.714
9.895,13.185,3.789
6.161,2.851,11.696
10.389,-1.64,4.543
11.362,10.75,6.492
9.417,9.86,8.922
6.079,2.879,12.023
6.428,5.69,3.783
11.192,8.977,9.311
2.004,5.666,-2.165
11.491,10.468,6.156
7.087,2.382,10.544
6.084,3.12,12.06
4.605,5.278,4.681
9.498,4.458,3.383
10.198,-1.927,3.903
0.893,5.459,-2.073
5.201,5.362,1.404
12.22,-0.025,8.56
10.848,-1.684,4.085
-0.855,6.459,10.349
6.581,3.326,10.654
1.585,5.453,-2.194
11.054,12.227,3.657
5.485,4.764,0.143
4.437,5.214,4.626
3.522,4.0,4.939
10.073,-1.838,3.663
5.522,4.821,0.181
11.471,-1.157,5.142
11.772,10.302,6.571
7.304,2.812,10.813
11.587,8.941,9.104
11.214,11.069,4.256
11.676,11.768,3.624
10.532,11.946,4.607
9.58,4.523,3.288
11.764,-0.554,7.114
6.298,4.745,-0.544
6.437,4.845,-0.598
11.345,10.379,6.437
5.384,5.49,0.94
1.042,5.451,-2.098
10.263,8.908,8.789
11.673,10.149,6.533
9.183,12.056,5.347
3.564,3.794,5.213
10.031,10.471,9.58
-0.824,6.762,10.156
9.472,11.871,5.558
-1.455,7.419,9.743
1.9,5.707,-1.684
0.869,5.754,-2.097
5.898,3.222,11.109
3.64,3.821,4.774
9.393,12.854,5.433
-1.415,7.587,10.047
10.06,10.202,8.921
5.943,4.665,-0.337
10.197,12.42,3.828
9.457,4.366,3.311
-1.534,7.649,9.376
11.084,10.314,6.139
10.831,11.872,3.89
12.196,-0.104,8.473
9.855,-1.769,3.259
9.024,4.475,3.455
9.502,10.731,9.021
12.222,0.001,8.614
6.11,3.252,11.86
0.997,5.439,-2.133
11.235,-1.297,5.276
-0.706,5.891,9.482
3.657,4.767,4.066
-1.124,6.924,10.701
11.349,-1.304,4.367
12.165,0.256,7.618
8.846,4.582,3.967
5.742,3.113,11.677
-1.522,7.06,9.445
4.909,4.497,5.236
9.793,12.268,5.695
11.397,12.262,3.362
-1.121,7.669,10.236
6.327,4.968,-0.449
-1.545,7.782,9.492
0.979,5.114,-1.906
12.249,-0.587,7.022
11.394,8.925,9.627
9.08,11.337,9.396
9.304,4.989,3.453
10.351,-1.857,4.119
11.838,10.04,6.74
10.94,-1.272,5.767
-0.921,6.844,10.854
5.523,5.334,0.841
12.558,0.578,8.561
6.81,3.592,11.528
5.668,3.334,11.608
9.707,9.081,8.729
4.23,4.61,5.028
5.501,5.767,1.083
12.079,11.992,3.317
10.965,11.036,5.751
11.573,8.654,9.452
11.081,-1.66,4.196
9.371,4.907,3.261
4.63,5.503,4.247
12.098,9.777,7.061
-0.083,6.879,-1.783
-0.999,7.287,10.751
3.877,4.539,4.028
12.764,1.04,9.044
12.215,0.262,7.44
6.062,3.192,12.017
-1.359,7.238,9.102
3.683,4.518,4.45
4.712,5.252,1.761
11.756,8.252,9.155
1.802,5.869,-2.119
8.879,4.447,3.755
9.823,9.154,9.044
12.089,9.789,7.064
5.55,5.788,1.26
9.467,4.348,3.417
4.79,5.726,2.291
11.209,9.52,9.485
-0.412,6.437,-1.577
12.539,0.528,8.561
12.642,0.829,8.639
4.125,3.843,5.378
12.06,-0.724,6.984
11.834,8.484,9.079
5.802,5.709,0.969
6.222,4.977,-0.257
4.727,4.993,2.088
5.806,3.135,12.11
5.359,6.019,2.194
8.821,4.659,3.754
10.512,8.955,8.902
-0.742,6.744,10.796
9.876,11.699,5.806
11.459,9.672,9.31
10.279,9.496,9.585
6.295,4.806,-0.529
-1.63,7.388,9.581
11.943,10.162,6.803
-1.515,7.681,9.571
-0.405,6.31,10.787
6.941,5.758,3.937
12.042,9.864,6.954
6.848,3.492,10.909
12.389,11.774,3.231
7.446,5.448,4.112
12.809,1.159,9.13
0.399,6.665,-1.854
12.734,0.978,9.039
0.824,6.163,-2.187
5.927,4.832,-0.172
12.134,-0.586,7.389
8.557,4.964,3.584
4.97,4.325,5.059
11.876,11.799,3.349
-0.708,5.823,9.376
5.693,5.102,0.03
3.994,4.274,4.047
8.867,4.478,3.842
4.05,4.105,3.975
1.468,5.345,-2.092
5.634,3.378,11.355
3.953,4.105,5.31
9.865,11.996,5.713
5.567,3.217,11.697
10.937,-1.07,5.152
12.471,0.472,8.23
4.95,5.811,2.443
5.789,3.124,11.772
10.863,-1.006,4.894
3.766,4.027,5.205
7.544,3.689,10.943
9.314,4.359,3.483
10.84,8.252,8.808
3.49,3.757,5.07
9.774,10.184,9.56
5.695,2.967,11.966
10.734,12.357,3.599
1.176,5.153,-1.918
10.066,11.395,5.667
11.568,8.523,9.326
6.006,3.228,10.93
12.078,11.707,3.386
6.506,3.403,11.297
9.057,4.574,3.623
11.127,-1.348,4.811
12.488,0.527,8.049
4.891,4.178,5.012
9.515,4.453,3.417
9.901,11.332,5.004
-0.816,6.67,10.826
2.047,5.742,-1.834
6.154,5.403,-0.164
10.01,11.571,5.691
3.713,3.782,5.201
-1.079,6.334,8.874
12.038,9.787,7.012
6.011,3.564,10.873
12.237,11.95,3.224
11.336,8.248,9.223
12.738,0.947,8.854
7.138,2.522,9.893
11.978,10.212,6.753
10.765,11.239,4.848
5.744,2.855,11.914
0.093,6.859,-1.976
12.628,0.515,8.813
7.328,5.051,3.784
12.003,9.87,6.927
-1.409,7.434,9.256
1.628,4.882,-1.881
1.058,5.407,-2.114
11.769,8.655,9.227
10.72,10.57,5.629
12.046,9.932,6.941
7.077,5.003,3.976
-0.531,6.141,10.649
12.012,-0.696,6.132
12.511,11.617,3.255
9.335,13.263,3.845
1.464,4.942,-1.902
9.344,10.757,9.024
12.548,0.65,8.133
6.025,5.891,0.813
11.458,8.186,8.953
-1.218,6.649,9.065
4.109,4.118,5.231
6.205,4.719,-0.523
9.269,4.968,3.454
10.123,12.732,3.965
11.603,8.676,9.359
10.369,-1.958,4.048
6.083,3.202,11.915
4.871,5.845,2.557
11.678,10.33,6.491
4.969,5.901,2.354
1.586,4.749,-1.95
10.243,8.995,9.366
5.404,5.677,0.894
11.45,11.095,6.639
6.138,5.299,0.153
6.83,5.456,3.878
3.951,4.139,5.401
2.235,5.784,-1.899
12.064,9.878,7.006
10.207,10.438,9.552
-0.501,6.031,10.525
10.204,8.687,8.639
6.408,3.361,11.811
10.79,9.148,8.874
12.635,0.558,8.757
10.725,-1.72,3.903
-0.907,6.203,10.239
9.536,10.812,9.478
12.024,9.803,6.978
6.015,2.873,11.595
3.821,4.168,5.074
12.287,0.101,7.389
4.234,4.721,5.176
7.206,2.361,10.437
12.422,11.701,3.247
11.554,-0.902,6.667
1.687,4.729,-1.876
7.454,3.202,10.379
11.685,8.743,9.362
5.013,5.313,1.141
5.669,5.349,0.104
10.148,9.35,9.106
12.299,11.881,3.222
-0.621,5.919,9.751
6.087,2.62,11.426
-0.25,6.46,-1.674
4.052,3.877,5.403
1.89,5.956,-1.84
12.519,11.557,3.268
-1.312,6.293,9.375
12.308,11.914,3.242
7.348,3.781,10.825
1.611,4.632,-1.891
-0.581,5.654,9.573
-0.412,6.412,10.907
-1.335,6.842,8.996
-0.862,6.239,10.442
4.187,5.419,3.448
12.374,0.568,8.048
1.946,5.198,-1.692
6.082,3.293,11.876
11.248,-1.319,6.371
3.697,3.991,4.479
11.582,-1.033,5.906
11.613,12.413,3.246
11.159,-1.454,4.465
4.773,5.068,1.394
11.7,11.982,3.617
0.537,5.433,-1.91
9.429,12.53,4.125
11.543,8.838,9.389
6.01,3.053,11.193
9.404,4.394,3.495
9.407,10.574,9.298
11.083,11.241,6.142
7.145,2.947,10.376
-0.85,6.255,10.443
5.052,5.683,1.823
12.368,0.581,8.031
10.188,12.477,3.669
6.68,3.444,11.668
7.599,5.395,4.269
3.641,3.721,4.87
7.072,2.287,10.594
11.685,12.431,3.212
12.118,-0.341,7.918
4.503,5.099,1.885
11.794,11.91,3.594
0.523,5.44,-1.924
-1.219,6.429,9.242
11.399,9.578,9.238
9.401,13.06,5.52
9.608,4.369,3.264
9.424,12.755,3.882
11.263,10.596,6.367
7.66,5.274,4.274
-1.188,6.721,10.537
10.774,-1.685,4.443
12.546,0.652,8.303
-0.382,5.958,10.55
5.964,3.101,11.985
7.119,2.827,10.925
3.604,3.748,4.851
5.963,3.407,11.432
11.719,12.301,3.334
10.067,12.352,3.776
4.985,5.762,1.929
10.381,-1.39,3.949
1.207,4.947,-1.917
5.04,5.896,2.365
11.705,8.959,9.328
9.687,10.175,9.486
9.503,4.42,3.379
7.367,5.504,4.11
11.308,10.951,6.37
10.812,8.422,8.842
11.648,12.429,3.241
9.687,9.286,8.981
3.66,3.722,4.858
7.274,2.515,10.738
-1.125,6.55,10.597
7.681,5.515,3.979
1.368,4.863,-1.929
5.09,5.157,4.091
1.505,4.745,-1.903
10.231,-1.786,3.419
0.865,5.18,-1.918
7.98,4.591,3.878
11.218,11.159,6.169
10.67,12.915,3.696
-0.967,6.618,10.752
10.485,11.126,5.491
-0.575,6.352,10.802
10.961,11.484,4.493
12.566,0.343,8.73
4.998,5.59,2.047
12.27,11.95,3.252
9.549,9.602,8.848
5.001,5.165,1.176
4.453,5.146,4.681
11.767,8.976,9.213
11.214,11.095,4.275
11.653,10.785,6.636
7.901,5.506,3.678
5.074,4.981,0.862
8.03,5.277,3.846
1.064,4.9,-1.861
4.707,5.549,4.374
9.126,4.608,3.631
0.602,6.575,-2.121
10.735,11.573,6.317
8.995,12.905,5.309
11.916,-0.346,8.134
8.195,5.055,3.827
3.947,4.0,4.285
4.775,5.378,1.881
9.095,4.629,3.414
-0.726,6.722,-1.321
5.092,5.152,0.981
11.322,11.11,6.544
10.826,9.229,9.253
5.587,3.062,11.799
5.432,4.798,0.259
-0.648,5.721,9.021
9.038,4.685,3.43
5.238,5.399,1.688
12.249,0.105,8.663
10.276,-2.003,4.17
-0.921,6.591,10.732
10.524,11.728,5.778
12.18,0.063,8.618
8.209,4.447,4.016
1.564,4.785,-1.924
9.48,10.166,8.76
-1.115,6.676,10.645
10.33,12.124,5.256
3.737,3.876,4.416
-1.437,7.273,10.302
9.152,4.614,3.558
7.072,5.46,3.803
11.369,10.883,6.471
1.847,4.754,-1.792
11.409,8.354,9.096
8.693,4.652,3.985
11.589,11.698,3.458
9.698,9.632,9.182
4.838,5.081,1.328
10.431,11.638,5.732
6.631,3.36,11.762
0.768,6.157,-2.121
11.547,8.458,9.117
9.737,13.173,3.777
4.802,5.046,1.353
10.398,11.531,5.926
6.721,3.421,11.606
5.039,4.612,4.633
11.895,-0.431,8.061
1.058,6.396,-2.001
3.657,3.684,4.874
9.71,11.765,5.633
6.591,3.4,11.792
7.114,2.537,10.801
4.64,5.172,1.785
1.252,5.564,-2.039
9.178,4.337,3.541
-1.369,6.421,9.545
10.898,9.107,9.519
9.274,10.742,9.11
12.637,0.817,9.027
11.45,10.024,6.241
9.174,4.735,3.492
9.312,9.648,8.773
-0.562,6.193,10.656
9.146,13.224,5.29
11.732,10.492,6.431
9.503,13.516,4.091
1.506,4.798,-1.902
7.254,2.457,10.558
9.013,4.625,3.334
4.675,4.983,1.894
11.905,-0.364,8.09
10.74,11.975,4.013
12.041,-0.253,8.331
4.976,5.651,1.944
4.76,5.046,1.384
11.61,-0.905,5.179
11.398,8.747,9.302
4.508,4.179,4.472
1.325,5.081,-1.925
9.769,12.924,4.036
3.687,3.659,5.033
5.581,3.214,11.553
4.874,5.077,1.253
1.675,6.011,-1.479
11.701,12.352,3.275
9.45,13.195,3.869
-0.486,6.0,10.421
11.332,11.879,3.975
11.526,12.478,3.255
2.088,5.224,-2.065
11.554,8.975,9.187
10.131,12.332,5.676
11.638,12.392,3.252
4.828,4.28,4.857
3.503,3.796,4.715
8.89,4.972,3.953
-0.638,6.265,10.637
-1.034,6.332,10.151
3.647,3.708,4.852
6.708,3.276,10.596
7.006,3.653,11.512
10.361,8.672,8.563
9.115,4.496,3.365
6.225,2.842,10.61
3.623,3.748,4.885
10.022,9.235,9.467
-0.693,5.956,10.348
9.83,-1.73,3.386
12.212,-0.053,8.576
-1.422,7.617,9.375
5.65,3.251,11.562
3.955,4.539,4.164
4.426,5.478,4.278
7.614,5.356,4.264
10.587,12.579,3.476
4.92,4.256,5.086
6.478,4.791,-0.634
11.248,9.021,9.389
1.184,5.539,-2.059
9.773,13.311,3.921
10.697,9.98,9.562
11.901,-0.461,6.559
9.374,4.654,3.424
4.728,5.667,2.562
11.354,11.093,6.564
10.496,9.432,8.789
-0.519,6.375,10.85
4.694,4.748,4.546
12.222,-0.031,8.571
10.751,-1.882,5.021
5.748,2.896,11.947
11.502,11.152,3.815
4.101,4.99,4.775
12.175,12.016,3.255
11.656,12.351,3.395
9.895,9.17,8.88
6.142,4.672,-0.505
10.726,10.737,5.568
1.351,4.972,-1.987
-1.165,6.441,9.948
-0.49,6.185,10.708
9.645,10.145,9.263
12.594,0.431,8.769
9.753,12.293,3.964
5.597,3.237,11.861
9.474,10.766,9.393
3.591,4.23,4.902
0.134,6.151,-1.649
11.639,9.018,9.418
5.538,5.776,0.856
9.695,4.548,3.156
10.192,12.829,3.672
6.327,4.822,-0.524
1.402,5.889,-1.679
6.051,3.182,12.098
11.202,8.244,8.93
12.324,0.138,8.695
10.93,-0.898,5.876
6.294,4.822,-0.466
2.404,5.529,-2.006
9.282,4.722,3.389
4.768,5.818,3.116
9.072,4.979,3.506
9.788,12.917,3.903
-0.721,6.013,10.268
10.976,9.146,9.532
11.117,11.472,6.47
11.412,10.904,6.557
5.87,3.05,12.176
9.335,12.159,5.577
11.658,9.438,9.167
10.496,9.404,9.699
9.807,4.448,3.045
9.449,9.344,8.708
12.303,11.893,3.241
7.21,2.303,10.451
2.128,4.57,-1.837
9.674,12.64,5.541
12.36,0.064,8.595
10.676,9.924,9.732
-0.333,5.681,10.24
-0.141,6.285,-1.726
11.814,11.526,3.636
6.819,2.347,10.455
6.485,4.83,-0.626
11.121,8.289,8.928
-0.715,6.206,10.499
10.067,8.865,8.942
12.54,0.348,8.733
-0.921,5.95,9.152
4.306,4.519,5.144
11.246,8.951,9.513
1.911,4.775,-1.96
4.705,5.198,1.792
-0.449,5.72,10.228
1.586,5.855,-1.696
12.246,0.418,8.654
5.322,5.858,1.562
12.346,0.082,8.672
10.31,9.764,9.521
9.298,4.42,3.538
5.557,5.079,0.16
-0.858,6.216,10.578
4.477,5.645,3.881
11.682,12.342,3.385
9.605,9.103,8.691
10.965,9.415,9.693
4.787,5.641,2.495
11.607,9.346,9.339
8.528,5.297,3.521
1.829,4.744,-1.932
7.315,5.619,4.157
3.571,4.245,4.421
8.401,5.072,3.821
1.966,4.581,-1.845
10.001,-1.981,3.735
-0.453,5.796,10.292
10.593,10.759,5.544
11.664,9.082,9.428
10.617,-1.215,4.709
4.326,4.542,5.169
-1.686,7.64,9.303
6.013,4.784,-0.298
-0.306,6.61,-1.808
11.936,12.073,3.314
10.687,12.403,3.816
5.759,3.049,12.134
9.779,13.043,3.988
11.648,12.386,3.263
3.897,4.458,3.806
12.376,0.106,8.631
10.08,10.106,9.63
11.614,9.565,9.34
1.994,5.997,-1.993
-0.491,6.153,10.675
3.928,4.626,3.684
2.023,4.585,-1.843
-1.0,5.961,9.218
11.688,9.276,9.182
11.078,-1.641,4.054
12.536,0.579,8.986
9.698,12.042,4.162
11.502,10.939,6.6
10.217,12.037,3.984
4.572,4.506,5.183
11.235,12.23,3.351
9.803,4.405,3.077
5.688,2.971,11.705
5.835,3.006,12.152
11.606,-0.873,6.193
9.749,4.502,3.123
9.46,10.492,9.054
-0.784,6.404,10.759
7.932,4.694,3.913
12.421,0.145,8.197
-1.254,6.802,9.094
10.948,10.005,9.331
2.217,5.471,-1.731
3.818,3.831,4.368
10.242,8.828,8.871
11.639,9.451,9.148
5.298,5.967,2.555
9.097,4.373,3.794
8.281,5.027,3.827
11.629,10.08,6.409
-1.599,7.888,9.653
-0.726,6.442,10.815
1.431,4.698,-1.755
12.598,0.459,8.001
4.652,4.506,4.529
5.994,2.902,12.046
5.801,3.195,11.194
9.034,4.667,3.549
12.035,9.953,6.937
12.082,11.705,3.485
9.68,12.343,5.686
5.444,4.748,0.202
-1.71,7.422,9.878
1.962,4.781,-1.892
9.374,9.532,8.768
11.434,9.693,9.335
11.844,-0.512,6.108
7.919,4.496,3.681
-1.586,7.109,9.153
7.147,3.976,10.873
6.043,3.515,11.355
-1.24,6.887,10.637
10.184,12.88,4.076
12.589,0.213,8.559
10.643,-1.742,4.551
12.413,11.674,3.264
10.316,10.023,9.652
5.427,4.747,0.254
10.282,11.422,5.633
11.818,8.669,9.111
7.363,2.368,10.365
8.659,4.32,3.869
11.409,-1.347,4.775
11.693,10.198,6.64
5.232,5.489,1.137
8.317,5.189,4.104
7.22,5.233,4.101
12.204,-0.538,7.292
12.009,9.942,6.843
8.075,4.73,3.573
4.745,4.509,4.528
12.708,0.981,9.081
2.564,5.019,-1.826
5.404,4.798,0.272
9.888,9.99,9.256
12.033,11.794,3.467
6.913,2.231,10.479
6.703,4.892,-0.698
-1.149,6.494,8.992
3.711,4.087,5.255
-1.589,7.308,10.2
11.696,-0.79,7.279
11.63,-0.896,7.008
12.39,0.115,7.495
11.445,8.915,9.397
10.869,11.827,6.281
10.78,-1.631,5.345
12.428,0.417,8.223
7.67,5.153,4.287
5.037,5.051,0.952
11.334,9.873,6.49
6.0,4.647,-0.412
-1.474,6.965,10.162
1.221,5.233,-1.792
1.13,5.903,-2.109
-1.28,6.837,10.643
10.201,11.78,4.459
12.462,0.21,7.66
7.148,2.583,11.006
3.438,4.05,4.389
10.585,11.802,4.446
12.247,11.441,3.432
2.426,5.59,-1.995
8.722,4.717,3.718
-1.627,7.635,9.944
11.35,10.909,6.562
4.709,5.357,2.027
8.131,4.98,3.546
10.83,8.271,8.797
-1.006,6.365,10.543
4.397,5.473,4.096
5.526,4.722,0.103
10.044,11.988,4.191
5.992,4.69,-0.412
10.089,11.362,5.886
1.955,4.986,-1.938
10.404,9.855,9.473
12.491,0.486,8.962
9.756,12.383,5.677
2.188,4.861,-1.847
11.175,-1.334,6.261
3.423,3.705,5.128
10.715,-1.888,3.974
3.331,3.565,5.172
10.801,10.842,6.16
12.741,1.038,9.108
5.511,3.241,11.879
11.656,9.41,9.196
10.92,8.378,8.887
-0.476,6.711,10.98
-1.35,6.668,9.082
6.357,3.011,11.799
4.617,4.769,4.807
12.532,0.407,8.747
11.106,-1.496,6.069
12.195,11.661,3.416
6.028,3.543,11.117
5.621,4.678,-0.028
