x,y
6.065,-1.441
4.05,4.209
8.746,12.955
-5.477,8.974
15.144,10.58
6.573,8.63
10.142,14.568
10.467,4.686
-4.741,9.08
11.633,11.264
10.898,14.399
14.336,0.282
9.941,-4.451
9.986,4.868
15.353,11.518
14.359,0.388
5.506,-0.716
-1.482,3.976
12.095,-2.744
-4.844,6.99
3.651,5.392
-6.035,8.215
11.882,-3.597
13.481,0.283
9.539,4.851
5.355,-1.194
-4.756,8.48
5.516,4.849
9.386,12.394
11.283,15.262
-5.715,9.052
6.664,9.038
-4.828,9.231
-1.742,3.751
13.656,-1.171
15.132,8.555
7.277,12.391
10.224,5.4
10.671,-3.779
11.791,10.24
11.616,-1.832
-6.229,7.959
5.22,8.641
14.441,1.028
6.033,-0.135
5.354,-1.367
14.066,10.413
4.859,4.866
4.917,8.923
11.974,15.364
10.996,11.695
14.792,8.288
11.526,-3.877
10.388,5.315
4.706,6.157
12.001,9.771
-1.146,5.883
-6.217,8.523
3.795,5.44
14.82,1.635
13.39,0.24
5.403,-0.71
-4.355,8.68
4.098,5.018
4.717,7.789
14.314,8.026
-0.507,3.662
9.68,4.692
14.201,10.28
12.014,9.758
4.941,8.877
10.491,4.735
3.989,7.766
15.398,9.156
-1.769,5.901
14.403,0.983
14.432,1.241
4.837,3.975
13.416,-1.139
14.466,8.086
5.109,9.055
6.55,9.04
4.679,7.436
5.066,-0.886
4.079,8.365
9.743,4.92
14.302,9.638
-6.263,7.862
10.005,12.305
15.489,8.989
15.123,10.018
6.848,8.995
-4.857,8.881
11.66,10.124
-4.909,9.076
-6.313,7.312
7.688,6.1
11.914,9.891
6.644,-0.424
12.344,15.33
8.223,5.828
14.885,1.747
-0.979,5.372
14.816,1.519
-1.073,4.551
6.431,8.726
13.687,-0.671
9.394,5.341
5.581,4.83
11.816,15.099
-4.665,7.004
6.041,8.869
3.864,5.256
9.594,4.715
3.734,5.149
-1.204,3.577
5.632,-1.568
4.657,4.104
9.73,12.508
5.345,-1.41
11.947,-2.581
14.08,0.757
3.951,7.863
5.305,-1.079
11.616,-2.936
4.467,4.042
6.787,0.354
10.346,4.714
13.835,8.895
4.207,3.82
15.521,10.798
5.194,-1.062
10.626,14.895
-1.614,3.628
10.408,12.358
14.657,8.294
6.256,-1.464
12.169,15.084
6.163,-0.587
10.007,4.99
11.817,-3.287
13.896,0.749
5.412,4.753
10.47,4.778
9.987,13.769
-6.206,7.808
-0.434,3.436
6.233,9.362
10.257,12.252
4.464,3.895
-4.185,7.52
12.014,9.83
6.335,-1.531
12.077,15.404
14.225,8.395
14.675,1.445
8.143,-0.686
11.64,10.084
11.172,13.127
5.224,-0.95
-1.035,5.663
14.715,0.954
8.104,5.223
11.948,9.938
-4.538,8.871
-1.474,3.052
-1.55,3.955
14.743,8.284
11.446,11.97
11.833,9.866
7.714,5.386
-6.057,7.177
12.965,-1.836
12.459,15.283
8.908,14.767
-1.556,3.193
15.322,11.565
13.951,0.833
5.39,9.463
14.084,8.28
-4.38,8.016
4.749,4.314
6.837,8.813
10.173,5.383
9.881,14.693
14.807,8.316
10.564,-3.78
5.482,-0.708
3.884,7.735
11.585,10.537
3.881,7.91
-1.552,2.957
14.479,9.786
5.079,8.839
10.75,10.678
6.167,9.19
7.799,5.747
4.746,4.028
-0.318,3.285
11.867,9.817
15.737,10.503
-5.917,7.061
13.822,9.791
5.689,-0.428
14.51,9.502
14.649,0.999
11.049,-4.062
-5.533,7.393
15.716,11.316
11.992,9.863
5.703,-0.973
4.451,4.308
13.424,0.083
4.865,4.698
7.792,-0.601
12.385,15.329
12.564,-1.084
-1.52,2.941
7.42,0.169
14.831,8.31
5.09,8.204
5.905,8.971
14.488,10.165
12.185,15.371
-5.082,6.944
6.443,-0.952
-1.573,5.765
4.812,3.951
-0.422,3.747
12.475,15.221
-4.64,7.619
12.21,15.398
6.668,0.169
-1.603,2.966
-4.863,6.828
-6.447,7.417
-4.26,8.229
-5.738,7.44
3.716,6.47
13.877,0.731
-0.965,3.202
5.496,-0.689
12.259,-1.418
3.952,4.541
12.625,-2.195
11.334,15.485
11.746,-3.592
5.077,7.861
11.659,14.964
-1.839,4.295
9.373,14.107
14.953,8.489
6.113,-1.249
10.361,4.674
15.374,11.367
10.756,11.321
7.552,-0.533
-5.741,7.413
4.352,8.204
13.854,0.716
10.075,14.637
5.943,-0.278
8.309,5.819
4.111,4.092
7.657,-0.643
11.391,15.501
14.163,-0.351
4.695,7.492
11.676,14.961
-1.834,4.347
-4.547,7.747
15.355,9.028
8.605,12.787
10.582,4.749
9.241,14.412
11.277,11.014
8.379,5.616
-5.862,7.993
11.155,-3.546
14.112,0.963
-5.875,6.928
5.321,-0.743
7.068,-0.355
4.093,4.106
5.77,-1.296
11.478,15.378
10.09,14.406
4.125,8.123
10.755,-3.893
-1.703,3.423
3.956,8.068
15.009,8.411
15.35,10.873
10.406,4.684
8.102,5.836
10.958,10.863
13.903,8.996
11.361,15.508
14.418,10.379
4.103,4.076
7.478,-0.41
-5.985,7.82
8.499,5.83
-1.68,3.213
5.441,5.754
-1.659,3.065
10.51,-4.48
-1.855,3.841
8.742,4.868
10.958,11.136
10.239,15.207
-6.073,7.761
10.827,12.199
-6.231,7.421
11.319,13.483
14.703,0.726
4.651,6.832
12.081,15.436
14.428,10.805
5.165,8.114
4.851,5.547
14.962,8.379
11.615,13.794
11.123,10.454
8.659,5.968
5.405,8.052
8.763,5.598
-1.824,3.353
4.903,6.16
10.072,5.029
-0.86,5.16
10.226,11.35
8.579,13.309
14.02,-0.122
9.062,5.374
3.984,4.721
4.455,7.71
10.076,5.092
-1.764,6.498
5.31,8.273
10.763,10.818
14.87,9.557
5.259,-1.272
6.002,8.378
-4.313,6.877
9.984,5.148
4.947,8.24
14.487,0.531
10.516,-3.589
-6.073,7.744
10.062,11.879
14.398,0.469
9.001,4.656
-1.607,3.082
14.62,11.204
-6.005,8.013
9.759,12.558
3.886,4.484
-5.565,8.703
10.086,4.949
7.849,5.8
10.989,10.837
-1.374,2.83
14.278,8.37
9.434,4.939
11.648,14.857
14.724,10.592
5.153,7.946
10.235,12.083
5.876,-0.272
-1.05,4.612
14.38,8.304
9.168,14.978
5.115,7.963
10.31,11.898
5.987,-0.282
5.456,5.36
13.937,-0.171
-0.699,4.666
4.09,4.077
9.897,12.57
5.73,-0.299
7.347,-0.476
4.713,7.657
-1.153,3.847
10.1,4.655
-4.761,7.76
14.963,9.222
15.305,11.6
14.8,1.319
11.933,10.844
10.097,5.17
14.355,11.043
-6.105,7.216
8.379,13.206
11.398,10.585
8.862,14.961
-1.585,3.094
7.687,-0.459
10.054,4.982
4.752,7.501
14.001,-0.151
10.803,14.245
14.156,0.065
4.314,8.1
5.102,7.857
12.339,-2.813
14.729,8.561
4.549,4.909
-1.505,3.46
9.495,14.621
4.263,3.934
5.343,-1.407
5.14,7.976
-0.574,4.142
11.397,15.391
9.055,14.758
-5.761,7.039
11.337,14.546
11.246,15.484
-0.814,3.008
14.833,8.587
9.419,12.24
11.356,15.5
5.292,4.874
3.875,4.141
9.682,5.241
-6.133,7.396
-5.503,7.535
4.094,4.131
6.875,-0.969
6.155,0.04
13.757,9.649
10.162,4.86
6.861,-1.432
4.026,4.082
14.658,10.05
-5.648,7.064
10.097,-4.353
14.385,0.361
-4.674,9.011
5.441,-1.407
3.958,5.33
4.543,6.076
8.353,5.717
10.415,15.007
5.505,4.752
7.037,8.992
14.972,8.762
-1.288,3.914
9.192,15.003
15.663,9.847
12.802,-1.035
10.337,5.031
3.973,7.584
10.774,10.783
14.46,9.872
-6.377,7.396
5.037,5.369
14.37,0.384
11.073,-2.788
5.227,-0.95
11.999,14.201
4.61,5.225
11.882,15.536
11.442,15.346
14.268,10.192
6.84,8.758
11.288,12.116
-1.583,3.375
-5.25,7.723
-6.168,7.215
15.097,10.964
14.717,0.814
9.809,14.139
5.169,-1.279
15.689,11.325
4.126,4.405
-1.578,5.174
15.068,8.439
5.012,8.989
10.712,4.931
9.834,14.94
6.879,9.0
4.225,7.53
5.216,-0.686
14.024,8.474
14.505,0.599
12.044,-1.974
6.768,9.009
-0.341,3.003
10.265,5.101
3.723,7.192
10.08,5.369
9.47,14.682
-5.638,7.201
15.065,9.164
10.489,10.892
10.897,10.789
5.054,-0.733
9.331,12.845
15.348,8.765
15.298,9.726
10.907,4.974
14.093,10.806
12.139,15.438
7.851,-0.529
-1.295,2.553
9.019,12.664
14.374,0.543
15.692,9.785
-5.607,6.757
-1.644,5.408
11.971,14.727
7.617,-0.773
7.006,9.097
14.012,8.567
-5.851,7.329
14.108,9.926
14.652,0.777
-4.438,7.188
5.031,4.81
14.998,8.886
-1.353,2.819
4.758,7.706
-5.495,6.801
-0.566,3.866
14.458,0.68
4.423,8.601
14.434,0.533
15.269,10.104
10.237,4.707
5.861,8.743
-5.932,7.375
4.288,6.413
11.403,15.394
13.976,10.519
15.411,9.229
4.005,7.49
15.292,8.687
9.412,5.705
-1.401,2.862
8.076,6.003
3.867,4.666
9.214,5.445
-1.453,2.67
10.229,-4.007
-5.638,6.865
11.213,12.121
15.17,8.545
11.34,-3.075
5.003,4.745
-4.642,9.139
6.58,8.725
-1.496,5.807
11.749,15.363
10.516,14.765
5.06,-0.891
9.392,14.734
11.379,15.479
3.73,5.469
14.396,0.563
15.505,10.442
15.544,8.783
-0.334,3.674
-6.102,7.214
3.719,5.743
-1.414,2.619
-4.475,7.221
15.25,8.674
11.481,-3.996
14.729,1.075
9.874,13.871
10.814,10.591
10.296,14.218
5.132,4.731
11.098,15.053
10.851,4.903
5.503,-1.199
5.084,-0.775
12.502,-1.746
10.786,4.928
15.17,11.314
-6.133,7.596
8.643,4.997
14.084,0.45
-4.357,8.149
15.617,9.645
-0.483,3.161
3.968,4.543
14.121,9.782
15.366,8.783
3.939,8.14
9.947,4.631
9.093,5.298
11.883,10.587
-5.094,9.359
-6.216,7.591
5.483,-0.652
13.989,0.77
4.989,5.458
5.251,-0.758
5.902,-1.443
10.06,4.926
11.824,9.936
12.093,15.084
9.426,12.529
6.048,8.388
-5.136,8.922
-1.352,2.782
14.258,10.973
15.532,9.029
12.776,-1.665
8.623,4.757
-4.435,8.523
6.61,0.331
5.853,-1.286
-6.03,8.173
9.759,14.818
14.669,0.482
10.991,-3.417
6.432,-0.749
15.541,10.167
6.013,8.31
10.391,12.203
14.67,8.195
7.953,-0.25
9.459,4.57
12.071,-3.276
11.631,10.419
5.005,8.559
9.053,5.503
7.909,5.546
13.667,-0.812
11.863,10.004
8.873,4.923
5.13,5.239
14.847,1.513
-0.554,2.563
5.961,8.393
15.085,10.587
11.954,15.08
7.782,-0.785
7.224,9.163
-4.294,7.815
4.583,4.126
-5.429,8.676
13.128,-0.82
12.822,-0.999
13.473,0.118
14.843,8.672
10.03,11.292
11.427,-2.461
14.091,0.667
8.352,5.483
5.251,8.111
12.068,10.618
6.695,8.624
-5.403,8.337
-1.579,3.715
-1.086,4.211
-5.976,8.13
10.406,13.606
13.622,0.308
7.141,-0.325
3.636,4.522
10.737,13.681
12.304,14.9
-0.284,3.075
9.544,5.01
-5.33,9.052
10.999,10.754
4.432,7.678
9.113,5.285
13.853,8.915
-5.861,7.557
4.395,6.194
6.116,8.366
10.12,13.929
6.609,8.66
10.311,12.145
-1.149,2.884
15.381,10.063
14.757,1.029
9.231,12.576
-1.148,2.681
12.067,-1.614
4.085,3.795
10.721,-4.051
4.013,3.639
11.036,11.41
14.85,1.599
5.164,-1.269
15.316,8.731
14.002,8.864
-6.539,7.718
-4.36,8.143
5.642,-0.608
5.1,5.311
14.543,0.897
11.868,-1.778
12.19,15.072
6.021,-1.455
6.279,8.435
-0.852,3.165
-5.589,7.221
13.549,10.263
-1.386,3.069
6.139,0.137
7.579,5.451
10.531,11.804
7.975,-0.348
5.222,5.288
4.34,4.539
-0.882,3.498
10.584,10.791
11.714,13.749
11.218,13.586
4.139,5.415
4.681,4.635
-4.819,8.046
14.906,8.33
14.462,9.424
14.53,0.949
14.407,10.328
15.36,8.767
4.948,6.045
-1.504,2.889
8.893,14.921
11.139,10.682
3.701,7.117
12.188,15.176
10.164,13.993
6.636,8.878
14.164,10.939
11.447,10.377
-4.53,6.92
11.414,10.945
7.438,5.603
12.232,15.14
9.435,14.506
11.602,10.373
12.074,-2.53
6.104,-0.854
10.301,15.291
10.651,10.949
4.485,4.714
-5.627,7.209
11.335,13.793
13.756,-0.506
-0.701,2.719
6.065,-0.51
-1.37,3.49
4.003,4.03
15.317,11.138
10.628,15.03
6.718,-1.032
-1.506,4.793
-1.776,6.489
15.109,9.679
10.55,-3.937
10.12,5.41
8.466,13.266
-5.551,6.92
8.864,14.906
13.379,-0.671
9.519,14.104
6.372,-0.637
12.294,-2.312
9.244,5.43
-1.463,3.458
11.304,14.644
-0.843,3.879
14.93,8.446
3.85,7.776
9.482,5.188
15.384,10.534
-6.093,7.688
4.336,7.972
13.546,0.256
9.595,14.335
6.684,0.085
9.903,5.083
11.297,15.319
15.196,10.711
14.871,9.149
4.306,5.155
10.625,5.309
9.807,14.789
10.774,11.149
3.623,4.779
9.303,5.834
-1.303,4.657
15.177,10.326
5.241,5.325
12.03,14.188
-0.57,2.848
14.328,9.349
11.943,-2.728
15.27,10.302
10.442,13.845
4.112,4.089
3.763,4.809
11.659,10.628
8.094,5.163
9.163,5.244
11.584,-3.843
10.62,10.829
-0.345,2.906
3.862,4.229
12.077,-3.448
11.399,-2.865
10.633,11.854
6.324,8.926
7.048,-0.461
8.993,5.632
11.255,14.998
6.708,-0.092
11.757,10.992
14.7,10.065
11.639,-3.38
10.664,14.536
8.099,5.318
6.656,-0.131
10.513,12.114
-0.713,3.707
10.101,14.991
13.217,-0.488
5.502,5.867
10.801,14.21
7.079,-0.171
5.831,8.871
6.151,-1.432
6.112,8.984
-1.401,5.226
9.732,5.217
-5.065,6.817
-1.625,4.454
7.949,-0.563
11.186,14.62
9.889,11.527
10.93,14.629
11.592,10.144
11.165,14.645
3.82,6.602
13.471,-0.395
4.534,7.441
9.008,5.769
11.638,14.517
14.211,9.751
5.799,5.49
6.811,8.975
11.946,10.838
6.74,8.921
10.521,11.994
13.257,-0.463
4.835,9.037
9.306,4.97
4.761,6.157
10.774,10.977
11.588,10.752
12.025,-2.047
9.561,4.991
4.04,3.896
9.142,5.367
-1.727,4.298
4.957,8.684
5.975,-0.272
14.278,9.507
7.07,-0.859
14.715,8.062
-1.42,3.872
-5.443,6.916
10.365,11.519
15.648,10.29
11.517,10.844
9.702,14.448
-1.351,3.489
-5.428,8.901
6.929,9.181
3.814,4.87
6.359,9.138
15.541,11.719
4.511,4.118
11.745,10.512
4.515,4.141
-0.435,4.128
9.93,5.592
5.249,5.123
13.17,-0.067
15.157,11.355
-1.588,3.537
4.855,7.75
6.801,8.975
14.231,10.564
-1.71,3.645
5.502,9.592
10.207,5.269
7.763,-0.235
13.645,-0.185
15.137,9.329
10.808,10.975
7.741,-0.735
14.418,8.491
5.017,6.118
-1.261,3.29
14.409,11.058
10.283,5.092
4.049,8.243
13.646,-0.154
13.862,10.315
15.479,10.218
8.211,5.815
11.394,14.797
-6.285,7.533
14.502,9.024
5.479,4.682
-5.451,6.77
-0.328,3.215
3.998,3.99
3.726,5.547
14.955,9.146
11.074,-4.036
11.211,10.924
3.744,7.449
4.082,4.449
-1.433,2.848
-5.614,6.947
9.232,12.287
6.167,-0.128
8.512,5.635
-6.175,8.579
10.263,12.021
13.973,0.181
-1.539,5.996
-5.708,8.097
-5.339,8.308
13.554,-0.246
9.906,12.726
-5.864,7.731
-5.015,8.123
11.294,14.617
6.791,0.289
13.182,-0.293
9.097,13.268
-5.326,6.702
5.31,5.577
11.293,14.793
8.88,14.869
14.863,9.337
4.484,8.74
11.156,11.114
9.192,4.795
6.078,-0.878
-5.066,8.673
-5.38,6.736
9.168,5.197
-1.233,3.266
7.428,0.089
6.026,-0.854
14.497,9.218
-1.365,3.616
11.277,-3.687
6.47,-0.809
10.916,12.18
6.626,-0.662
-0.889,2.639
10.308,11.774
14.57,10.009
9.868,12.01
5.424,9.491
-6.262,7.674
-0.846,3.174
14.598,0.319
4.749,8.725
5.108,-0.604
9.993,14.889
3.897,5.057
11.023,10.948
12.353,14.676
14.566,10.634
6.355,8.894
-1.59,5.841
-1.053,2.842
15.624,11.665
15.543,9.524
-0.944,4.464
10.101,4.477
3.66,7.288
12.032,10.326
14.408,9.671
-6.44,7.441
-1.428,5.769
14.042,0.856
10.76,12.457
5.139,-0.521
3.944,6.102
4.673,4.339
5.969,9.338
11.434,15.257
5.048,5.63
7.004,8.934
8.874,5.419
-1.335,2.669
5.406,4.798
15.44,9.006
7.703,-0.885
10.533,4.874
8.918,14.935
12.094,10.275
6.163,9.193
-6.307,7.442
6.305,-1.673
13.08,-0.233
9.713,14.124
5.278,-0.438
-1.637,6.123
4.453,4.415
10.968,-3.217
15.024,8.381
10.475,-4.384
10.622,4.896
-4.097,7.782
12.026,9.762
-1.296,3.897
10.319,4.871
12.15,-1.538
11.716,10.038
8.908,14.932
12.223,14.566
9.147,12.542
13.667,0.356
9.052,4.899
11.877,9.952
-1.605,5.995
6.565,8.714
5.32,9.062
4.123,3.891
4.844,4.851
-6.016,7.606
10.518,-3.757
14.279,0.569
4.805,5.654
10.501,4.943
4.883,4.428
12.335,14.521
5.396,-1.241
-6.252,7.703
15.638,9.796
7.023,9.172
5.005,8.589
13.86,0.357
9.227,5.408
6.378,8.842
3.892,5.067
11.877,15.347
-1.301,5.522
-6.366,7.97
4.573,8.445
14.363,8.909
6.924,-1.212
-1.117,3.769
-1.422,6.047
-5.786,7.764
12.935,-0.663
14.078,0.767
9.964,14.009
14.997,8.545
11.509,11.899
-6.445,7.867
-4.446,8.211
-1.305,2.745
-1.252,5.795
10.648,5.009
-0.285,3.319
11.665,10.209
9.881,14.53
6.21,8.583
6.41,-1.192
12.323,14.626
11.889,-2.177
15.104,8.505
10.547,11.645
-1.304,2.659
5.017,8.318
-6.128,7.598
8.395,13.541
10.477,4.701
-0.589,4.689
13.822,0.591
7.834,12.905
14.888,8.449
5.106,8.943
14.999,8.647
3.634,7.647
14.689,0.748
11.38,-3.623
4.09,3.794
-5.177,8.839
6.154,0.158
-4.583,8.715
4.267,3.934
8.037,5.999
14.879,1.715
-1.056,4.476
12.297,14.696
-1.367,5.797
5.197,-0.493
-0.715,4.563
12.355,14.681
9.414,5.285
10.103,5.009
10.49,-4.107
14.081,0.48
9.625,14.734
14.343,8.656
10.939,-4.105
5.085,-0.512
7.4,-0.486
4.004,4.022
10.073,12.822
-0.631,2.875
11.448,-3.838
11.779,10.514
4.658,8.435
-1.234,2.591
6.144,-1.378
3.714,4.282
9.067,12.751
5.143,-0.578
-0.976,5.095
5.173,-0.56
14.397,10.511
12.256,15.251
4.968,4.781
-1.43,3.204
10.004,14.374
11.91,9.891
14.073,9.087
-6.365,7.912
7.944,-0.454
6.149,0.132
10.213,11.262
6.498,8.802
9.519,14.058
6.036,8.625
-4.425,7.439
14.637,0.29
10.439,13.467
4.817,5.275
-0.847,4.686
3.894,5.166
5.363,-1.094
12.071,10.335
13.884,9.739
6.241,8.419
5.305,5.574
15.088,8.42
-5.184,9.096
11.575,10.195
4.964,8.207
10.677,4.866
4.34,4.806
5.18,-0.547
-4.577,8.985
14.73,1.027
9.831,4.642
4.26,3.988
-4.247,6.971
14.742,0.865
7.749,-0.737
4.102,4.126
9.111,12.901
-5.314,7.515
-4.655,7.714
12.679,-2.331
15.419,11.63
7.57,-0.057
11.938,9.879
3.687,4.732
11.935,10.812
10.741,14.501
8.112,-0.772
5.613,9.068
8.366,5.869
-0.709,3.675
13.855,9.751
15.188,9.73
8.453,13.187
10.092,5.088
8.689,12.845
11.042,11.276
5.869,-0.954
-5.551,8.148
-4.851,8.462
13.206,-0.108
9.88,14.293
6.859,-0.74
10.123,14.705
3.883,5.371
9.255,12.956
10.66,14.536
4.746,4.456
6.327,9.268
14.732,10.17
-1.255,3.864
6.088,9.192
14.612,9.605
11.865,-3.215
9.898,5.278
-1.141,3.224
11.037,11.2
5.467,5.761
-5.501,8.479
9.471,14.904
13.093,-0.447
7.078,-1.198
6.889,-0.744
4.535,8.609
3.677,4.694
15.748,11.247
10.836,14.822
11.209,-4.095
15.394,9.84
13.799,10.002
9.614,4.755
13.104,-1.669
11.397,11.01
7.718,-0.896
3.592,4.634
6.066,0.769
10.791,14.304
-5.796,8.907
13.686,-0.277
8.593,5.563
11.706,14.257
5.092,4.582
-1.112,3.757
4.148,7.719
-0.549,3.169
9.083,14.757
15.136,9.897
-5.083,7.828
